roman_urdu_term,canonical_meaning,source
kheere wala achar,cucumber pickle / cucumber achar,round1_kept_from_original
kheeray wala achar,cucumber pickle / cucumber achar,round1_kept_from_original
khira wala achar,cucumber pickle / cucumber achar,round1_kept_from_original
keri achar,raw mango (keri) pickle,round1_kept_from_original
kerry achar,raw mango (keri) pickle,round1_kept_from_original
keery achar,raw mango (keri) pickle,round1_kept_from_original
katcha aam achar,raw mango (keri) pickle,round1_kept_from_original
kacha aam ka achar,raw mango (keri) pickle,round1_kept_from_original
keri aam achar,raw mango (keri) pickle,round1_kept_from_original
naaril,coconut,round1_kept_from_original
naaryal,coconut,round1_kept_from_original
naryal,coconut,round1_kept_from_original
nariyal,coconut,round1_kept_from_original
saib,apple,round1_kept_from_original
seb,apple,round1_kept_from_original
narangi,orange / mandarin orange,round1_kept_from_original
naranji,orange / mandarin orange,round1_kept_from_original
keenu,orange / mandarin orange,round1_kept_from_original
kenu,orange / mandarin orange,round1_kept_from_original
qeenu,orange / mandarin orange,round1_kept_from_original
qenu,orange / mandarin orange,round1_kept_from_original
aru,peach,round1_kept_from_original
aaru,peach,round1_kept_from_original
arru,peach,round1_kept_from_original
anaar,pomegranate,round1_kept_from_original
anar,pomegranate,round1_kept_from_original
gajar,carrot,round1_kept_from_original
gjar,carrot,round1_kept_from_original
adrak,ginger,round1_kept_from_original
adrk,ginger,round1_kept_from_original
podina,mint,round1_kept_from_original
pudina,mint,round1_kept_from_original
tamatar,tomato,round1_kept_from_original
limu,lemon,round1_kept_from_original
nimbu,lemon,round1_kept_from_original
nimu,lemon,round1_kept_from_original
limo,lemon,round1_kept_from_original
paalak,spinach (palak),round1_kept_from_original
palak,spinach (palak),round1_kept_from_original
alu,potato (aloo),round1_kept_from_original
aloo,potato (aloo),round1_kept_from_original
aalo,potato (aloo),round1_kept_from_original
matar,peas (matar),round1_kept_from_original
matr,peas (matar),round1_kept_from_original
mutter,peas (matar),round1_kept_from_original
lehsun,garlic,round1_kept_from_original
lehsan,garlic,round1_kept_from_original
lesan,garlic,round1_kept_from_original
karela,bitter gourd (karela),round1_kept_from_original
karaila,bitter gourd (karela),round1_kept_from_original
kareley,bitter gourd (karela),round1_kept_from_original
mirch,chilli,round1_kept_from_original
mrch,chilli,round1_kept_from_original
pyaz,onion,round1_kept_from_original
piaz,onion,round1_kept_from_original
hara dhania,fresh coriander / dhania,round1_kept_from_original
hara dhaniya,fresh coriander / dhania,round1_kept_from_original
khira,cucumber,round1_kept_from_original
kheera,cucumber,round1_kept_from_original
kandhari anar,pomegranate,round1_kept_from_original
dar cheeni,cinnamon,round1_kept_from_original
dar chini,cinnamon,round1_kept_from_original
dar cheni,cinnamon,round1_kept_from_original
cheeni,sugar,round1_kept_from_original
chini,sugar,round1_kept_from_original
cheni,sugar,round1_kept_from_original
chiini,sugar,round1_kept_from_original
safaid cheeni,white sugar,round1_kept_from_original
brown cheeni,brown sugar,round1_kept_from_original
gulabi namak,pink salt,round1_kept_from_original
lal lobia,red lobia / red beans,round1_kept_from_original
safaid lobia,white lobia / white kidney beans,round1_kept_from_original
tekhi,spicy,round1_kept_from_original
teekhi,spicy,round1_kept_from_original
tikhi,spicy,round1_kept_from_original
tez,spicy / sharp,round1_kept_from_original
tel,oil,round1_kept_from_original
tal,oil,round1_kept_from_original
tail,oil,round1_kept_from_original
sarson,mustard,round1_kept_from_original
sarso,mustard,round1_kept_from_original
machli masala,fish masala,round1_kept_from_original
kali mirch,black pepper (powdered),round1_kept_from_original
dhania,coriander powder,round1_kept_from_original
dhaniya,coriander powder,round1_kept_from_original
daniya,coriander powder,round1_kept_from_original
dania,coriander powder,round1_kept_from_original
poudr,powder,round1_kept_from_original
pdr,powder,round1_kept_from_original
poder,powder,round1_kept_from_original
garm masala,garam masala,round1_kept_from_original
garam masala,garam masala,round1_kept_from_original
gahun,wheat,round1_kept_from_original
gahu,wheat,round1_kept_from_original
gandum,wheat,round1_kept_from_original
gundum,wheat,round1_kept_from_original
chaawal,rice,round1_kept_from_original
chawal,rice,round1_kept_from_original
chwal,rice,round1_kept_from_original
haldi,turmeric powder,round1_kept_from_original
haldee,turmeric powder,round1_kept_from_original
hldi,turmeric powder,round1_kept_from_original
zeera,cumin,round1_kept_from_original
zera,cumin,round1_kept_from_original
jeera,cumin,round1_kept_from_original
pisa zeera,cumin powder,round1_kept_from_original
zeera powder,cumin powder,round1_kept_from_original
kasuri methi,dried fenugreek (kasuri methi),round1_kept_from_original
qasuri methi,dried fenugreek (kasuri methi),round1_kept_from_original
zaitoon ka tel,olive oil,round1_kept_from_original
olive oil,olive oil,round1_kept_from_original
sirka,vinegar,round1_kept_from_original
srka,vinegar,round1_kept_from_original
shehed,honey,round1_kept_from_original
shahad,honey,round1_kept_from_original
shehd,honey,round1_kept_from_original
aanchar,pickle,round1_kept_from_original
achar,pickle,round1_kept_from_original
achaar,pickle,round1_kept_from_original
chutney,chutney / sauce,round1_kept_from_original
chatni,chutney / sauce,round1_kept_from_original
dahi,dahi-based mix (dahi bara/boondi/phulki),round1_kept_from_original
zafran,saffron,round1_kept_from_original
zaffran,saffron,round1_kept_from_original
zaffrann,saffron,round1_kept_from_original
safran,saffron,round1_kept_from_original
saffran,saffron,round1_kept_from_original
pista,pistachio,round1_kept_from_original
pistah,pistachio,round1_kept_from_original
biscuit,biscuits / cookies,round1_kept_from_original
biscut,biscuits / cookies,round1_kept_from_original
biskut,biscuits / cookies,round1_kept_from_original
chocolates,chocolate,round1_kept_from_original
choklate,chocolate,round1_kept_from_original
choklet,chocolate,round1_kept_from_original
double roti,bread,round1_kept_from_original
dbal roti,bread,round1_kept_from_original
kanor,knorr,round1_kept_from_original
syprsa,cypressa,round1_kept_from_original
nhed,naheed,round1_kept_from_original
nheed,naheed,round1_kept_from_original
nhd,naheed,round1_kept_from_original
nahid,naheed,round1_kept_from_original
nahiid,naheed,round1_kept_from_original
nhid,naheed,round1_kept_from_original
shan,shan,round1_kept_from_original
saan,shan,round1_kept_from_original
national,national,round1_kept_from_original
nasional,national,round1_kept_from_original
qeema,qeema (minced meat),round1_new_dish_terms
keema,qeema (minced meat),round1_new_dish_terms
kheema,qeema (minced meat),round1_new_dish_terms
qeima,qeema (minced meat),round1_new_dish_terms
gosht,gosht (meat),round1_new_dish_terms
ghost,gosht (meat),round1_new_dish_terms
ghosht,gosht (meat),round1_new_dish_terms
karahi,karahi,round1_new_dish_terms
karai,karahi,round1_new_dish_terms
karhai,karahi,round1_new_dish_terms
kadai,karahi,round1_new_dish_terms
handi,handi,round1_new_dish_terms
handy,handi,round1_new_dish_terms
nehari,nihari/nehari,round1_new_dish_terms
nihari,nihari/nehari,round1_new_dish_terms
nihaari,nihari/nehari,round1_new_dish_terms
haleem,haleem,round1_new_dish_terms
halim,haleem,round1_new_dish_terms
biryani,biryani,round1_new_dish_terms
biriyani,biryani,round1_new_dish_terms
briyani,biryani,round1_new_dish_terms
beryani,biryani,round1_new_dish_terms
qorma,qorma/korma,round1_new_dish_terms
korma,qorma/korma,round1_new_dish_terms
kurma,qorma/korma,round1_new_dish_terms
kabab,kabab,round1_new_dish_terms
kebab,kabab,round1_new_dish_terms
kabaab,kabab,round1_new_dish_terms
seekh kabab,seekh kabab,round1_new_dish_terms
sikh kabab,seekh kabab,round1_new_dish_terms
seekh kebab,seekh kabab,round1_new_dish_terms
shami kabab,shami kabab,round1_new_dish_terms
shaami kabab,shami kabab,round1_new_dish_terms
chapli kabab,chapli kabab,round1_new_dish_terms
chappli kabab,chapli kabab,round1_new_dish_terms
boti,boti,round1_new_dish_terms
botee,boti,round1_new_dish_terms
tikka,tikka,round1_new_dish_terms
tika,tikka,round1_new_dish_terms
malai boti,malai boti/tikka,round1_new_dish_terms
malai tikka,malai boti/tikka,round1_new_dish_terms
achari,achari (pickled style),round1_new_dish_terms
achaari,achari (pickled style),round1_new_dish_terms
chatpata,chatpata (tangy-spicy),round1_new_dish_terms
chatpatta,chatpata (tangy-spicy),round1_new_dish_terms
chatpatay,chatpata (tangy-spicy),round1_new_dish_terms
raita,raita,round1_new_dish_terms
rayta,raita,round1_new_dish_terms
daal,daal / dal (lentils),round1_new_dish_terms
dal,daal / dal (lentils),round1_new_dish_terms
dhal,daal / dal (lentils),round1_new_dish_terms
maash,maash (black gram lentil),round1_new_dish_terms
mash,maash (black gram lentil),round1_new_dish_terms
urad,maash (black gram lentil),round1_new_dish_terms
moong,moong (mung bean),round1_new_dish_terms
mung,moong (mung bean),round1_new_dish_terms
chana,chana / cholay (chickpeas),round1_new_dish_terms
channa,chana / cholay (chickpeas),round1_new_dish_terms
cholay,chana / cholay (chickpeas),round1_new_dish_terms
choley,chana / cholay (chickpeas),round1_new_dish_terms
chole,chana / cholay (chickpeas),round1_new_dish_terms
lobia,lobia (beans),round1_new_dish_terms
lobiya,lobia (beans),round1_new_dish_terms
rajma,rajma (kidney beans),round1_new_dish_terms
soya,soya beans,round1_new_dish_terms
soyabean,soya beans,round1_new_dish_terms
soya bean,soya beans,round1_new_dish_terms
kofta,kofta (meatballs),round1_new_dish_terms
koftay,kofta (meatballs),round1_new_dish_terms
shawarma,shawarma,round1_new_dish_terms
shawerma,shawarma,round1_new_dish_terms
bhujia,bhujia/bhujiya,round1_new_dish_terms
bhujiya,bhujia/bhujiya,round1_new_dish_terms
bhujya,bhujia/bhujiya,round1_new_dish_terms
saag,saag (mustard/spinach greens),round1_new_dish_terms
sag,saag (mustard/spinach greens),round1_new_dish_terms
paneer,paneer,round1_new_dish_terms
panir,paneer,round1_new_dish_terms
